"Column1","Column3"
".41	@USER قلتي له يا الضرح واي اعتداء على عضيدي اعتداء علي و الرد بيكون شديد 🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪	","OFF"
".42	@USER لحول انت جالس لي فكل شي اكتبه😕👊	","NOT_HS"
".43	@USER ليش هالحقد ما عندنا احد في النص 👊🏻	","NOT_HS"
".44	@USER شكله مافهم معنها😂😂🔪	","NOT_HS"
".45	RT @USER #بايع_الكليجا<LF>راح تتغير طريقة اكل الكليجا ..<LF>البنت تبوسها ثم تأكلها...😉<LF>الولد يدبجها ثم ياكلها..� 	","NOT_HS"
".46	@USER ليه بس انت حبيبك كتير 😂😂👊	","NOT_HS"
".47	RT @USER سبحان الله ناس تجري و راها الشهره 😏<LF>و ناس تجري و را الشهره 🐸<LF>العالمية تعني اكسو 😌<LF> #EXOL #BestFan…	","NOT_HS"
".48	@USER ماش 👎🏻	","NOT_HS"
".49	جد يعني باجر دوام🔪🔪	","NOT_HS"
".50	@USER للاسف انهم يكذبون كما يتنفسون لأنهم 🐗🐗🐗🐑🐑🐑🐑🐑🐏🐏🐏🐏🐏	","OFF"
".51	RT @USER افا يا الطرش يا التركستاني🐸<LF>طلع لك لسان وتتجرا تتكلم عن المنتخب السعودي	","Race"
".52	RT @USER أقوى شي يسد النفس 😷<LF><LF>تجلس مع واحد ياكل تمر ويمصمص أصابعه <LF><LF>ويرجع يقلب التمر و ينقي<LF><LF>😳 و يقولك :<LF>شفيك ما تهبش ...<LF> <LF>هبشك كيبل كه…	","OFF"
".53	@USER مايدرسون جغرافيا 👎🏻	","NOT_HS"
".54	ايمتى يخلص هالشهر                                                     والله لو إنّو 31 يوم 😷	","NOT_HS"
".55	ميووووت 🐸	","NOT_HS"
".56	@USER اقسم بالله اني اشوف انك تاكل تبن أحسن لك ياطبل ياطار للبنات والفساد انطم ياذكر بعيد كل البعد عن الرجوله ياحيف بس اذا عاجبك اللي صار ليه ماوديت اهلك وخليتهم يعطون رايهم ويصورون ولد الناس اللي ابتلش من اللي تصفق لهم الخلا مير الخلا ياتسلب👎🏻	","Social Class"
".57	#بايع_الكليجا قلة أدب وادوختونا صدق🤢	","OFF"
".58	بيجيبون لي امراض الدنيا وانا توني بعمر الزهور💩💔💔💔💔💔💔💔	","NOT_HS"
".59	#بايع_الكليجا <LF><LF>الله يفضحكم فضحتونا بين العربان 😷	","OFF"
".60	#بايع_الكليجا ي بنات وش ذا حسبي الله عليكم <LF><LF>أتقوا الله وأرتقوا ،،، أيش كمية الانحطاط بالتاق 👎🏻<LF><LF>( مَا يَلْفِظُ مِن قَوْلٍ إِلا لَدَيْهِ رَقِيبٌ عَتِيدٌ )	","Social Class"
".61	@USER بسم الله علي 🔪	","NOT_HS"
".62	@USER طيب لا تدف 😤🤣	","NOT_HS"
".63	@USER حقش حق وحق الناس مرق😤😤😤😤	","NOT_HS"
".64	@USER رخم 😂👊	","OFF"
".65	الي يبيع الكليجا لابس كمام 😷<LF>من ريحة اديوسهن وريحة اباطهن المعفنه الله لايلومك <LF><LF> #بايع_الكليجا	","Disability"
".66	@USER ممحون 🐶🐕	","OFF"
".67	بعض الأشخاص بسبب إنجازاتهم يستحقون كتاب شكر 📜 يحتوي صورة شخصية بفلتر (م ط ي🐴)	","NOT_HS"
".68	@USER بس يا بنت � � � 	","NOT_HS"
".69	رسالة الرئيس <LF>عبد الفتاح السيسي <LF>لرئيس الأركان من مقر القيادة بشرق القناة <LF>يامحمد عاوزك تشيل الإرهابيين من علي وش الأرض 👊	","NOT_HS"
".70	@USER بس اخاف نصاب بالسمنه😣😣😣😣😣😣	","NOT_HS"
".71	RT @USER وياريت كلنا نواسى أصحاب الجيوب الأنفية وحساسية الأنف والصدر ، لأنهم يتعذبون الآن 😧😷😢	","NOT_HS"
".72	RT @USER إذا كان ع التفاح ي آبل مفيش اكترمنه😂😂👊 URL	","NOT_HS"
".73	حد لاقي ياابني 😂👊 URL	","NOT_HS"
".74	@USER الهاجوس يابو فارس ماريحنا متاملين فيه خير 😷	","NOT_HS"
".75	RT @USER بغسلهم عقب ماغسل شراعكم انتما معاً بارك الله فيكما😡😏	","NOT_HS"
".76	شكلي بس انا الوحيدة اللي اكره الشيلات 😷	","NOT_HS"
".77	#بايع_الكليجا <LF>مدري وشفيهم النسوان انهبلووو هبل اقسم بالله ..تقليد + مرض شهره ما تدري وش تسوي ومرض اخر التخريب انا خربانه خرب الشله 🙃😷	","Social Class"
".78	@USER من جد 🤢	","NOT_HS"
".79	@USER بنظفونها وبيرجع الغبار 😷🌚	","NOT_HS"
".80	@USER ليه الافتري دا ✋ 😓 👊 😂 💔	","NOT_HS"
".81	الحقيقه والله شي مخجل اللي شفته<LF>كمية جرأه مقززه في البنات بشكل لايوصف<LF>وين الحياء والحشمه؟<LF>الظاهر ماعاد به حياء ولا حشمه في الجيل هذا إلا ما رحم ربي 😷<LF>#بايع_الكليجا	","Social Class"
".82	@USER لا والله ياخوي محد يرضى 👎🏻👎🏻👎🏻	","NOT_HS"
".83	#الكووره_للعيال <LF><LF>ككوولوووزززققققققق 😊💩💩.	","OFF"
".84	@USER يارجال انت لو خايف على مصلحة الاتحاد مافتحت الموضوع الى مابعد بطوله الملك للاسف كنت احترمك كاعلامي اتحادي 👎🏿	","NOT_HS"
".85	@USER انتي هتقوليلي 😂😂👊✊	","NOT_HS"
".86	RT @USER ماابي احلف بس واثق تماما ان وجودي مسبب لأغلبكم سعاده كلامي صح ولا اكيد!؟🌚🔪	","NOT_HS"
".87	@USER لا والله انها قليلة ذوق تنظر لرجل غير زوجها . وعيب اساس تنظر لشخص غير زوجها اساس شكلها وهي متخرفنه ع بايع ذا اكبر قذرة واكبر قله ادب نعم اهجدو مذابكم ورب الكعبه ي اخواني عندي انهم اجمل من وجهه مليون مرا عادي جدا مااشوف جمال الى تشوفونه زعجتونا ترا ..هه بس👊🏻👊🏻.	","OFF"
".88	#بائع_الكليجا تعليقي هو : ياتبارك الرحمن لا إله إلا الله 🤢	","NOT_HS"
".89	#اصدقا_الوناسه_وينهم في البحرين 👎😾 URL	","NOT_HS"
".90	٣ ايام وانا احلم احلام 💩	","NOT_HS"
".91	@USER واللي جالسين في فنادق الرياض ثلاث سنوات ويستنزفون التحالف وش تسميهم!! عليكم من الله ماتستحقون 👎	","OFF"
".92	بعض مصطلحات ال amrican slangs<LF><LF>An arm and a leg =  غالي جدا<LF>Ants on your pants = متوتر جدا لدرجة انه لايستطيع الجلوس وكأن فيه نمله في بنطلونه😂<LF><LF>Armpit = الابط وهذي تستخدم للتعبير عن النتانه والقذارة 😷<LF><LF>At the end of rope= متورط للغاية على قولة المصريين حبل المشنقة لاف حول رقبته	","OFF"
".93	@USER عيش ياااابطال 👊👍💪☝<LF>كلها 4/1 وهكون من الأبطال <LF>اقول اية علينا دولت اقول اية..	","NOT_HS"
".94	المشاوير 🤢🤕	","NOT_HS"
".95	@USER لو فهمت غلط  م قلت صديقي 😂😂😂🔪	","NOT_HS"
".96	#صلاه_الجنازه_القادمه_انت<LF>المستدعشين فاهمين النصيحة غلط 👊🏻	","NOT_HS"
".97	@USER انتم تسمعوني ولا تستهبلون؟!<LF>مادريت عن حق الكلجا ذا الي طفشتونا فيه ولا اهتميت له<LF><LF>كلامي عن وصفك بان لا نبوة للنساء لانهن غير وفيات <LF>تقدر تنتقد تصرف البنات دون التقول في الدين يا مقطعين الوفاء<LF><LF>فهمتوا؟ تعتبت وانا اشرح🔪	","Social Class"
".98	قلتله مسامحه 😣😟اني<LF><LF>كلمة وقالها لساني<LF><LF>بس بقلبي شي ثاني<LF><LF>منه تعبانة وخسرني🤣🤣🤣	","NOT_HS"
".99	RT @USER #نبي_قصه_عشق<LF>قصه عشق احلى موقع مسلسلات😹😹👊🏻	","NOT_HS"
".100	يا شين الخليجي اذا سوى فيها مهند 😷🤮🤢🤧🤯 URL	","OFF"
".101	@USER وش قلة الادب هذي ؟ 😳😷	","OFF"
".102	😡تعبت من الوزن الزائد تريد تنحف..💪😍 راسلني خاص📨💙 وابعت وزنك وطولك ...ولك الحل🔥🔥💛<LF><LF>#صلاه_الجنازه_القادمه_انت<LF>#اصدقا_الوناسه_وينهم<LF>#السعودية_عز_وفخر<LF>#اصدقا_الوناسه_وينهم<LF>#بايع_الكليجا URL	","NOT_HS"
".103	@USER وش فيك يا مطحون 😂😂👞 URL	","NOT_HS"
".104	@USER لسه بتآوح😡	","NOT_HS"
".105	#بايع_الكليجا الحمدلله والشكر افتكينا من خرفان ايفانكا جونا خرفان بايع الكليجا😷.	","OFF"
".106	@USER وتت ذا قاع يقذف 🌝🔪	","NOT_HS"
".107	@USER مظنش 💔 😂 متزوج بقاله شهر ونفسه يتزوج الرابعة 💔😂👊	","NOT_HS"
".108	RT @USER كنا مغشوشيين فيهم باخلاقهم  ومذهبهم الدموي😣	","Ideaology"
".109	@USER بعيد عن سوء كلامه<LF>ليته بس على ترفعه عن المرأه يحسن من سلوكياته وتصرفاته<LF>مشيته كنه بنت<LF>وتصرفاته ورقصه😷	","OFF"
".110	@USER فضحتينا👊🏼	","OFF"
".111	@USER اتعس شي بعد المباراة وانت خسران و مغبون تشوفه ينزل الملعب و يسلم على اللاعبين و يتبوسم و الوضع طبيعي عنده 😡	","NOT_HS"
".112	@USER يع خلاص تومتش !!😐🤢	","NOT_HS"
".113	@USER والله يعينش على نفسش ❤️🐑🐑	","NOT_HS"
".114	@USER فعلاً اععععع 🤮	","NOT_HS"
".115	@USER هههههههههههههههه خلاص على كذا ماراح انام بدري😂👊	","NOT_HS"
".116	@USER اههاا يعني يالحريم خقو علي تراي معكم .. ياكثرهم 😂💩💩	","NOT_HS"
".117	@USER ان كان لك حق انا م كان لك حق بتجي فيكك ي قذر 👊🏽	","OFF"
".118	RT @USER اسوء الرجال من يتحدث👎🏻<LF>عن محبوبتنه للاخرين 😔<LF>ليجعل منها فريسه سهله💔💔	","OFF"
".119	@USER بس بقى 👊👊👊👊	","NOT_HS"
".120	الواضح انه صباح 👎🏻	","NOT_HS"
".121	RT @USER الهندي قاعد يثبت للمعزّب إن الخروف 🐑صار صديقه حتى ما يذبحه 😂 URL	","Race"
".122	@USER كبيه الله لايسامحه كلب يعاملنا على انحن دجاج 🔪🔪	","OFF"
".123	@USER 😣😣😣😣😣الله ينقص ويزيد	","NOT_HS"
".124	@USER احسن 👊😁	","NOT_HS"
".125	@USER صوت اللي تصور🤢	","NOT_HS"
".126	@USER طيب ليش حاطه التسليم قبل الدفع 🤔 المفروض ادفع بعدين استلم بس طريقتها مضحكة و غبية 😂😂😂😷	","OFF"
".127	انا مش عارفه اي عدم الحياء الي الناس بقت في ده 😡😡😡	","OFF"
".128	عنز 🐐🐐	","OFF"
".129	@USER هههههههههههههههههههههههههههههههههههههههههههه خططي وارسمي عليه لاتخلينه يضيع 🔪😤	","NOT_HS"
".130	@USER اي 🙂🔪	","NOT_HS"
".131	يالله صباح خير الواحد يرسل شي جميل تخيل بس تبدا يومك بالاهلي اي شوم بالله عليك 🐸<LF>#الاهلي	","NOT_HS"
".132	غالبيتكم عملاء لذا الاحتلال جاثم فوق رؤوسكم😡👎 URL	","Ideaology"
".133	@USER لا عاد هو يسوي نفسه انا المز😷😂	","NOT_HS"
".134	@USER نتعوذ من الشيطان 🤢🙂🔪	","NOT_HS"
".135	RT @USER #اصدقا_الوناسه_وينهم<LF> اداع 4768940000مليون في حسابك😌<LF>اقروا الرقم زين وقولوا امين بلاش حسد😕🔨🗡<LF><LF>😂👊🏻	","NOT_HS"
".136	اللي يشوف كلام هيلاري راح يحط 👞 بفم كل واحد ينكر وجود مؤامرات ضد دولتنا والدول المجاورة وما ان تنتهي مؤامرة تكون دستة مؤامرات جاهزة ضدنا<LF>طبعا اذنابهم بيننا تعتبرهم هو الاستثمار الحقيقي على المدى البعيد غير الاعتراف شبه الحقيقي بخلق داعش ومساعدة الاخونج عليهم اللعنة جميعا	","Ideaology"
".137	يا الله بختنق 🤢	","NOT_HS"
".138	@USER خلاص اشغلتنا 🤢	","NOT_HS"
".139	@USER سحبتوا مني لكن ما جاء شي ع الايميل 😡💥 URL	","NOT_HS"
".140	@USER يستااااار 👊 👊	","NOT_HS"
".141	@USER ايفانكا كلنا ندري طقطقه ولاهي داريه عن هوى دارهم بس اللي م يستحون هذا سعوووووودي احرجوه واحرجوا اهله منجد ان لم تستح فأفعل ماتشاء تربيه👎🏽	","OFF"
".142	@USER والله مافيه مسعورين زي العيال 🤮	","OFF"
".143	@USER انتي ماقلتي شي بهالمناسبه 👊	","NOT_HS"
".144	@USER تاريخهم اسود من يومهم الله يجعلهم من كذا واردى👎	","OFF"
".145	زعلت زيادة لأني ماشفت وجهك كثير👎🏻	","NOT_HS"
".146	لا مش وكده وبس لما روحت الجامعه اكتشفت ان انا محضر جدول التلات مش الاتنين وعليا النهارده رسم 😤😤😤	","NOT_HS"
".147	#تميم_قايدنا_وحمد_عدونا  الحمدالله اني مو قطريه 😩😷😷😷😷😷😷	","Race"
".148	RT @USER طيب لاتصيحح يا اخوي ترى الدعوة كرة قدم 😂😂🐸	","NOT_HS"
".149	@USER وينه دا وينه جبوولي هوا اتفاهم معاه 😡😡😡😡	","NOT_HS"
".150	@USER يااااو فديت الخشه 😄👊🏻	","NOT_HS"
".151	@USER فعلا كلشي بسببها بس يالي قهرني هي بتتكلم و الكاميرا عليها طول الربورتاج بس بارش لا كانو هي النجمة لامعة و بارش الحارس 💂 الشخصي ليش هذا الانحياز في الصحافة ليش نسيو نجومية بارش و شعبيتو في تركيا راحت الهيبة بتاع بارش 😥صحافة تافهة صراحة 😒 👎	","OFF"
".152	@USER 👊😂😂😂😂ياارب بس متاخدكيش الجلاله تانى وتقاوحينى لما اقولك هتكسلى بعد كده😂😂💔	","NOT_HS"
".153	@USER انتي بتفضحي البت هنا عشان مش هتشوفها👊😂😂😂😂😂😂😂😂	","NOT_HS"
".154	@USER لقطة جولاق ما حمستني قهرتني😭💔💔<LF>الصور =💩	","NOT_HS"
".155	شعب الله المُتحَشِر🤮	","OFF"
".156	صباح الخير 💩.	","OFF"
".157	RT @USER بينما انا قاعدة بالبنك ناطرة دوري 😊، سمعت موظفة عّم تلقي محاضرة طبية لزبون سعل عدة مرات قدامها 😷و بلشت تحكيلو عن فوائد الدوش…	","NOT_HS"
".158	RT @USER عشت فى البلد سنيين طوال وشفت فيها استفتاءات وانتخابات  عجيبه وغريبه بس عمرة ما شفت فى سخافه اللى بيحصل الان 😡	","NOT_HS"
".159	@USER 😤واللي تقصر عباته شبرين وتطلع بعد طويلة	","NOT_HS"
".160	أوكي مو كل عطر رجالي يناسب بنت !!!! 😷💔	","NOT_HS"
".161	@USER نصاب لااحاد يشتري تفو عليك يالجزمه 🖕	","OFF"
".162	اوفففففر عااد 😡 بعض الحريم مادري بهم شفاحه ولا قلة ادددب ؟؟؟؟ عيب والله!!!! URL	","Social Class"
".163	@USER شوفي #بوعصا شن كاتب😷	","NOT_HS"
".164	تبقى معدية ماتسلمش عليا عينها فعنياااا ينفع كدا يرضيكوا كذا لاااء لااءء لا لااء 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻	","NOT_HS"
".165	RT @USER صارت لي بالثانوي ! جيت متاخر ٧ وقالت طالعه مع واحد؟ المشكله اهلي موصليني المدرسه وانا كنت غبيه ساكته ماعرف اتكلم 😡…	","OFF"
".166	@USER مرة الجاية ختي Tag بدل تخلينا نفتش في الFollowing بتاعك 😡❤️	","NOT_HS"
".167	@USER ياريت  😂😂🐸🙈❤	","NOT_HS"
".168	دعايات زعل وخضرا ع التلفزيون الاردني بتمغص 😷😷😫	","OFF"
".169	@USER برافو يا مريسيل اقسم بالله انك أذكى اعلامي<LF>يقولكم  الدوري 💙 بالريوس 😂<LF>يا جمهور الأهلي اتركو #المريسيل_يتكتك<LF>هذا تكتيكه للدوري ليتحول للاهلي💚<LF>الآسيوية أضاعها الهلال بسبب المريسيل جعلهم يعيشون في وهم ترشيحه لهم<LF>وسقطو في متاهات ومصيدة المريسيل كالعاده 😂<LF>واكلهم اوراوا ساده 😂🐒🍌	","Ideaology"
".170	@USER تقلقن حنوكك انت وياهم همداكم قسم اني مشغول واشغلتوني 😤👐😂	","NOT_HS"
".171	وش هالشفاحه والانحطاط بالتاق من اغلب البنات ، حتى لو العيال تغزلو ببنت ترامب وغيره من اعذاركم السخيفه ، نظل بنات !!<LF>عجبك امدحي بنفسك وبين اللي حولي مو لازم كل العالم تعرفك انك مشفوحه الله لا يبلانا 😷 #بايع_الكليجا	","Social Class"
".172	RT @USER ألحظه السعاده ...ياويلكم ياعذال ..تهزاوا مكاني ..واصل حدي ههه😆😆<LF>كلام عادي وربي في الزمن مردوا غدار في الشيطنه ...😣😟	","NOT_HS"
".173	ابعتيلى طيب 😂👊🏼 URL	","NOT_HS"
".174	ياخي اللي يقولون انها كلمات محسن بن تركي اشفييه ترا لو صدق بيقولون ماهي جريمه يعني وبعدين هاني يبي شو منجد السالفه من البارح وباقي للحين🔪💔<LF>#حياتك23	","NOT_HS"
".175	RT @USER أمه في البيت كانت تناديه سلوم<LF>يعصب 😤😤<LF>يقول لا تقولين سلوم اسمي سليمان 🕵🏻‍♂<LF><LF>والحين خطيبته تناديه : لومي <LF>يرد عليها : اعصريني ل…	","NOT_HS"
".176	ايه الفراغ ده 😂😂🐸 URL	","NOT_HS"
".177	RT @USER واللى استجدعنا معاهم💪🏻<LF>طلعوا مش صافيين من جواهم.👌🏻👎🏻👎🏻	","NOT_HS"
".178	@USER ماتجي ي بااااااااااااااااااااااااااااااااااااااع 🐑	","OFF"
".179	@USER قاعد تشد وجهك وتلوي فمك وخشمك عشان تبان الغمازه مدري الحفره الي بوجهك 😷 ونظام خالف تعرف عشان رتويت يحمار الغلط غلط على الانثى والذكر مو عشان العيال سوو غلط خلاص البنات يسون مثلهم وثاني شي الرجال ازعجوه برزقه وبالنهايه لو تعصر وجهك من هنا الى بكره ماراح تكون زين وتتميلح 😷 URL	","Social Class"
".180	#بايع_الكليجا<LF><LF>عطيتم الحرية وللإسف 👎🏻 تصرف غير لائق ابدا ....	","NOT_HS"
".181	@USER يقرف عمرك ياباسل 😷😷🙈🙈🙈	","OFF"
".182	@USER 🙈🙈🙈🙈🙈🙈💩<LF><LF>امشي انت ي ماسورهه💔💩	","NOT_HS"
".183	@USER الجوهره يتسع ل٦�  الف 😣!!!<LF>٨٤ الف كذبه و تواردت ..	","NOT_HS"
".184	روح روح 🤢😂☝🏻#ليلى_اسكندر &gt;&gt;اندمجت😑<LF>..<LF><LF>m.inqtr<LF>m.inqtr<LF>m.inqtr<LF>حساب تنزل فيه يومياتها والأماكن… URL	","NOT_HS"
".185	سحقا لك ولامثالك 😡😡 URL	","OFF"
".186	@USER اللقطه الختاميه الي امس� 	","NOT_HS"
".187	RT @USER لما تكون بتتفرج ع الماتش وامك تقولك هات قناه زي الوان😂😎👊 URL	","NOT_HS"
".188	الله يجعلني كليجا بس 🐑 #بايع_الكليجا URL	","OFF"
".189	المشكلة دلوقتي يا جماعة ان بكرة مش الجمعة!<LF>ولا بعده الجمعة!!<LF>وخد التقيلة بقي بعد بعد بكرة كمان مش الجمعة!!!<LF>😟😔😱� 	","NOT_HS"
".190	#كله_بيتعوض_الا<LF>الفلووس ال بتبقا ف البنطلون ويتغسل بيهم😞😞👊	","NOT_HS"
".191	احسه*<LF>وبعد اقول فهمتو 😭🔪	","NOT_HS"
".192	@USER معلش يا زاتو كلنا لما بنكون مضايقين مش بنحب نتكلم 😍وهي رخمة اما بتبقي زعلانة 😂👊	","NOT_HS"
".193	احلام و اليسا ينعن ام الشخصيات الخرا متصنعات اكووووووووه ياربي 😷😷😷🤧	","OFF"
".194	@USER 👊👊👊النت اهم حاجه بالدنيا	","NOT_HS"
".195	@USER رجعوووووها لسعرها الاولي أفضل .👍.. 16 ريال وقابلين بدون 🥃بيبسي <LF><LF>نبغى عرض خرافي نفس لي راح اشتر وحده 🥧 والثانية بريال 😍<LF><LF>لا تخلونا نروووح للمنافسين لكم 😡	","NOT_HS"
".196	#بايع_الكليجا <LF>.<LF>.<LF>انتحار جماعي 😢🔪 URL	","NOT_HS"
".197	RT @USER الحيوان الي بالصوره شنو 🙃💔 عيوني اجعتني 🔪 URL	","OFF"
".198	موطن الورد .. غمازة حبيبي😣.	","NOT_HS"
".199	صارت بامسي قتل تورغوت 😱😳<LF><LF>و السلطان الخرا يبي يعدم ارطغرل 😡 URL	","OFF"
".200	@USER انتِ &amp; نوري &amp; ملاك &amp; نهال &amp; راين ( شهد ويسو ومنال بنت شهد طولهم وسط ) البقيه سنافر &lt; الفراشه مشكوك في طولها 👎🏻	","NOT_HS"
".201	برب بروح اشحنه😷 URL	","NOT_HS"
".202	RT @USER قالت مريم: .. ياليتني مت قبل هذا ..<LF>ولم تعلم أن في بطنها .. نبي ..🤔<LF>.<LF>.<LF>بـعـض الكربات قد تحمل في طياتها كرامات🖕🏻<LF><LF>فلا تيأسـوا إن…	","NOT_HS"
".203	مشافيييح 🤢🤢🤢 مرة يفشلوو URL	","OFF"
".204	@USER لا حسبي الله قصدي امدحج مالت😭👊🏻.	","NOT_HS"
".205	@USER رخمه في عينك👊🏻<LF> ياملافظ السعد ع قول الفنانه احلام 😒	","OFF"
".206	@USER عيييب في بنات يشوفون 🤦‍♂️🤦‍♂️👊👊👊	","NOT_HS"
".207	@USER مساعد جزار بينفع 😂😂😂🔪🔪🔪🔪	","NOT_HS"
".208	#بايع_الكليجا<LF>وباقي تقولوا حنا خفيفين والله الخفيفين أنتم لك أسبوع خاقين جعلكم العمى 🖕🏻🙄	","Social Class"
".209	@USER الجنسين خرفان ويفشلوننن ، تفو على هالاشكال😷	","Social Class"
".210	@USER على #Periscope: باك😏👊🏽 URL	","NOT_HS"
